trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
401,False,"{'a': 0.6, 'e': 0.0003031491484895963}",20,0,32.710619670607116,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.6, 'e': 0.0002970861655198043}",25,0,41.97697057397161,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.6, 'e': 0.0002911444422094082}",25,4,31.76333534866129,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.6, 'e': 0.0002853215533652201}",20,11,14.798928735463011,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.6, 'e': 0.00027961512229791565}",20,0,33.783066559310896,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
406,False,"{'a': 0.6, 'e': 0.00027402281985195733}",30,22,16.33079345525665,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.6, 'e': 0.0002685423634549182}",20,16,8.898351961684792,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.6, 'e': 0.0002631715161858198}",25,14,19.52565338349804,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.6, 'e': 0.0002579080858621034}",35,16,31.088943528332194,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.6, 'e': 0.00025274992414486136}",30,4,42.437360324627676,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.6, 'e': 0.00024769492566196414}",20,8,21.417834209865852,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.6, 'e': 0.00024274102714872482}",25,8,30.250398738246968,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.6, 'e': 0.00023788620660575034}",20,1,35.328207014887234,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.6, 'e': 0.00023312848247363532}",25,7,29.960972364640817,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.6, 'e': 0.0002284659128241626}",25,13,21.661857633142485,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.6, 'e': 0.00022389659456767936}",25,0,37.78486197914985,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
417,False,"{'a': 0.6, 'e': 0.00021941866267632577}",25,16,18.612857145775443,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.6, 'e': 0.00021503028942279924}",25,0,32.26985288409893,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
419,False,"{'a': 0.6, 'e': 0.00021072968363434325}",25,13,19.441591035681906,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
